cve,epss,date
CVE-2025-58321,0.00528,2025-11-06
CVE-2025-58384,0.00553,2025-11-06
CVE-2025-59528,0.03025,2025-11-06
CVE-2025-60219,0.00061,2025-11-06
CVE-2025-41243,0.10243,2025-11-09
CVE-2025-42944,0.0002,2025-11-09
CVE-2025-55051,0.00059,2025-11-09
CVE-2025-55113,0.00053,2025-11-09
CVE-2025-55729,0.00403,2025-11-09
CVE-2025-55730,0.00403,2025-11-09
CVE-2025-58321,0.00528,2025-11-09
CVE-2025-58384,0.00553,2025-11-09
CVE-2025-59528,0.03025,2025-11-09
CVE-2025-60219,0.00061,2025-11-09
CVE-2025-41243,0.10243,2025-11-12
CVE-2025-42944,0.0002,2025-11-12
CVE-2025-55051,0.00059,2025-11-12
CVE-2025-55113,0.00053,2025-11-12
CVE-2025-55729,0.00403,2025-11-12
CVE-2025-55730,0.00403,2025-11-12
CVE-2025-58321,0.00528,2025-11-12
CVE-2025-58384,0.00553,2025-11-12
CVE-2025-59528,0.03025,2025-11-12
CVE-2025-60219,0.00061,2025-11-12
CVE-2025-41243,0.07811,2025-11-15
CVE-2025-42944,0.00019,2025-11-15
CVE-2025-55051,0.00059,2025-11-15
CVE-2025-55113,0.00053,2025-11-15
CVE-2025-55729,0.00403,2025-11-15
CVE-2025-55730,0.00403,2025-11-15
CVE-2025-58321,0.00528,2025-11-15
CVE-2025-58384,0.00553,2025-11-15
CVE-2025-59528,0.03025,2025-11-15
CVE-2025-60219,0.00061,2025-11-15
CVE-2025-41243,0.07014,2025-11-18
CVE-2025-42944,0.0002,2025-11-18
CVE-2025-55051,0.00062,2025-11-18
CVE-2025-55113,0.00053,2025-11-18
CVE-2025-55729,0.00421,2025-11-18
CVE-2025-55730,0.00421,2025-11-18
CVE-2025-58321,0.00698,2025-11-18
CVE-2025-58384,0.00553,2025-11-18
CVE-2025-59528,0.07243,2025-11-18
CVE-2025-60219,0.00061,2025-11-18
CVE-2025-41243,0.07811,2025-11-21
CVE-2025-42944,0.0002,2025-11-21
CVE-2025-55051,0.00062,2025-11-21
CVE-2025-55113,0.00053,2025-11-21
CVE-2025-55729,0.00421,2025-11-21
CVE-2025-55730,0.00421,2025-11-21
CVE-2025-58321,0.00698,2025-11-21
CVE-2025-58384,0.00553,2025-11-21
CVE-2025-59528,0.0332,2025-11-21
CVE-2025-60219,0.00061,2025-11-21
CVE-2025-41243,0.08124,2025-11-24
CVE-2025-42944,0.0002,2025-11-24
CVE-2025-55051,0.00062,2025-11-24
CVE-2025-55113,0.00055,2025-11-24
CVE-2025-55729,0.00421,2025-11-24
CVE-2025-55730,0.00421,2025-11-24
CVE-2025-58321,0.00698,2025-11-24
CVE-2025-58384,0.00553,2025-11-24
CVE-2025-59528,0.78435,2025-11-24
CVE-2025-60219,0.00061,2025-11-24
CVE-2025-41243,0.08124,2025-11-27
CVE-2025-42944,0.0002,2025-11-27
CVE-2025-55051,0.00062,2025-11-27
